Hjemmelag,Bortelag,Resultat,Tid,Plan,Matchnr,Gruppe,Runde
Oppsal IF Fotball 3,Hafslund IF J8,,lørdag 30/05 09:00,Park & Anlegg Arena 5,30056900,J8 (f 2018) Lørdag Plj E,
"Skade, IL",Oppsal IF Fotball 2,,lørdag 30/05 09:00,Østfold energi arena 26,30055300,J11 (f 2015) Lørdag Plj I,
Nittedal Diamant,Oppsal IF Fotball 1,,lørdag 30/05 09:00,Park & Anlegg Arena 1,30056500,J8 (f 2018) Lørdag Plj C,
Oppsal IF Fotball 1,Oppegård IL 1,,lørdag 30/05 09:40,Park & Anlegg Arena 7,30057102,J8 (f 2018) Lørdag Plj C,
Oppsal IF Fotball 2,Rustad Abildsø Sportsklubb 2,,lørdag 30/05 09:40,Park & Anlegg Arena 1,30056502,J11 (f 2015) Lørdag Plj I,
Nittedal Smaragd,Oppsal IF Fotball 3,,lørdag 30/05 10:00,Park & Anlegg Arena 9,30057303,J8 (f 2018) Lørdag Plj E,
Rygge IL,Oppsal IF Fotball 1,,lørdag 30/05 10:20,Park & Anlegg Arena 9,30057304,J8 (f 2018) Lørdag Plj C,
Oppsal IF Fotball 3,Hvalstad IL Diamanter,,lørdag 30/05 10:40,Park & Anlegg Arena 7,30057105,J8 (f 2018) Lørdag Plj E,
Oppsal IF Fotball 2,"Mandalskameratene, FK 1",,lørdag 30/05 11:00,Park & Anlegg Arena 6,30057006,J11 (f 2015) Lørdag Plj I,
Gresvik IF Blå,Oppsal IF Fotball 1,,lørdag 30/05 11:20,Østfold energi arena 26,30055307,J8 (f 2018) Lørdag Plj C,
Lervik IF,Oppsal IF Fotball 3,,lørdag 30/05 11:40,Østfold energi arena 31,30057507,J8 (f 2018) Lørdag Plj E,
Svelvik IF Sollaget,Oppsal IF Fotball 2,,lørdag 30/05 12:20,Park & Anlegg Arena 1,30056510,J11 (f 2015) Lørdag Plj I,
Hvalstad IL Stjerner,Oppsal IF Fotball 2,,lørdag 30/05 12:40,Park & Anlegg Arena 3,30056710,J8 (f 2018) Lørdag Plj B,
Oppsal IF Fotball 3,Gjelleråsen Grønn,,lørdag 30/05 13:00,Park & Anlegg Arena 8,30057212,J11 (f 2015) Lørdag Plj A,
Oppsal IF Fotball 5,Tønsberg FK,,lørdag 30/05 13:20,Park & Anlegg Arena 7,30057112,J11 (f 2015) Lørdag Plj E,
Oppsal IF Fotball 2,Trosvik IF 1,,lørdag 30/05 13:20,Park & Anlegg Arena 4,30056813,J8 (f 2018) Lørdag Plj B,
Oppsal IF Fotball 3,Lillehammer Fotballklubb 2,,lørdag 30/05 13:40,Østfold energi arena 28,30055514,J11 (f 2015) Lørdag Plj A,
Oppsal IF Fotball 2,Ski IL Fotball 2,,lørdag 30/05 14:00,Østfold energi arena 31,30057514,J8 (f 2018) Lørdag Plj B,
Våg FK 1,Oppsal IF Fotball 1,,lørdag 30/05 14:00,Park & Anlegg Arena 8,30057215,J11 (f 2015) Lørdag Plj D,
"Skiens Grane, IF 2",Oppsal IF Fotball 5,,lørdag 30/05 14:20,Østfold energi arena 28,30055516,J11 (f 2015) Lørdag Plj E,
Våg FK 3,Oppsal IF Fotball 3,,lørdag 30/05 14:20,Østfold energi arena 30,30055716,J11 (f 2015) Lørdag Plj A,
Oppsal IF Fotball 4,HSV Fotball Fanta,,lørdag 30/05 15:00,Østfold energi arena 30,30055718,J11 (f 2015) Lørdag Plj H,
Oppsal IF Fotball 2,Holmlia SK Dronningene 2,,lørdag 30/05 15:20,Østfold energi arena 27,30055419,J8 (f 2018) Lørdag Plj B,
Oppsal IF Fotball 1,Skogstrand IL,,lørdag 30/05 15:20,Park & Anlegg Arena 4,30056818,J11 (f 2015) Lørdag Plj D,
